Citizen_ID,Income_Tier,Scheme_Eligibility,Scheme_Amount,Last_Claim_Date,Region_Code,Account_Status,Aadhaar_Linked,Claim_Count
322651194174,Low,Pension,2000,26-01-2024,MP-11,Active,TRUE,3
471464053117,Low,Health,5000,06-03-2025,GJ-06,Active,TRUE,0
247760979123,Low,Health,5000,06-09-2024,RJ-06,Active,TRUE,4
152106892375,Low,Pension,2000,19-03-2025,UP-18,Active,TRUE,3
720257965977,Low,Health,5000,27-03-2024,WB-12,Active,TRUE,0
564364944298,Low,Pension,2000,25-05-2025,DL-03,Active,TRUE,1
422601586768,Low,Pension,2000,11-01-2025,WB-03,Active,TRUE,5
152419317238,Low,Health,5000,12-02-2025,GJ-20,Active,TRUE,1
333165014872,Low,Health,5000,12-04-2023,UP-03,Active,TRUE,0
758121224465,Low,Pension,2000,08-05-2023,GJ-12,Active,TRUE,1
100282259058,Low,Food,1000,09-02-2023,DL-16,Active,TRUE,0
336084485286,Low,Health,5000,26-06-2023,RJ-02,Active,TRUE,3
714254702281,Low,Food,1000,28-08-2024,WB-19,Active,TRUE,4
534927166137,Low,Pension,2000,06-04-2025,WB-02,Active,TRUE,5
559153362475,Low,Health,5000,05-07-2025,UP-20,Active,TRUE,1
351998197832,Low,Food,1000,26-11-2023,WB-03,Active,TRUE,1
650129584509,Low,Health,5000,02-07-2025,AP-07,Active,TRUE,0
279169851336,Low,Health,5000,12-05-2025,RJ-11,Active,TRUE,1
597930779842,Low,Pension,2000,25-04-2023,RJ-05,Active,TRUE,3
232865107166,Low,Pension,2000,24-05-2023,MH-10,Active,TRUE,4
630527636236,Low,Pension,2000,22-01-2026,AP-12,Active,TRUE,5
664502239973,Low,Food,1000,09-03-2025,KA-13,Active,TRUE,1
375657932784,Low,Pension,2000,18-09-2024,RJ-09,Active,TRUE,5
625930767645,Low,Food,1000,25-03-2023,WB-15,Active,TRUE,4
844318572244,Low,Pension,2000,17-02-2023,MH-12,Active,TRUE,0
693024379182,Low,Pension,2000,11-03-2024,TN-10,Active,TRUE,5
542601107432,Low,Food,1000,23-10-2025,UP-18,Active,TRUE,3
794498122185,Low,Health,5000,14-03-2024,MH-08,Active,TRUE,4
281826438182,Low,Food,1000,30-09-2024,MH-06,Active,TRUE,2
927376487974,Low,Pension,2000,06-03-2024,GJ-11,Active,TRUE,1
693648951309,Low,Pension,2000,14-07-2024,RJ-13,Active,TRUE,3
239676020315,Low,Health,5000,30-12-2023,MP-02,Active,TRUE,2
744656253999,Low,Health,5000,27-05-2023,GJ-16,Active,TRUE,4
378325764142,Low,Pension,2000,22-11-2024,WB-17,Active,TRUE,2
674774828624,Low,Pension,2000,01-05-2025,AP-05,Active,TRUE,5
448828583829,Low,Pension,2000,08-07-2023,TN-12,Active,TRUE,4
487134460103,Low,Food,1000,07-05-2023,DL-18,Active,TRUE,0
162544238927,Low,Pension,2000,08-01-2023,WB-03,Active,TRUE,3
421198306891,Low,Food,1000,01-04-2023,WB-02,Active,TRUE,5
913635305029,Low,Health,5000,11-11-2024,RJ-01,Active,TRUE,2
234327949911,Low,Pension,2000,03-12-2025,RJ-09,Active,TRUE,3
105163432882,Low,Food,1000,22-11-2023,KA-09,Active,TRUE,1
934781876179,Low,Health,5000,20-05-2024,UP-06,Active,TRUE,2
612671500463,Low,Pension,2000,25-03-2024,MP-19,Active,TRUE,0
245399119418,Low,Pension,2000,14-03-2023,KA-12,Active,TRUE,2
488421150576,Low,Pension,2000,12-04-2024,TN-07,Active,TRUE,1
317543015379,Low,Health,5000,05-10-2025,MH-12,Active,TRUE,1
208501871911,Low,Food,1000,07-09-2024,MH-10,Active,TRUE,0
212923867281,Low,Food,1000,28-11-2024,DL-17,Active,TRUE,5
595930071500,Low,Pension,2000,19-07-2023,DL-10,Active,TRUE,0
674086009217,Low,Health,5000,28-08-2023,AP-10,Active,TRUE,0
130144790620,Low,Health,5000,31-12-2024,MP-03,Active,TRUE,5
738009342196,Low,Food,1000,19-06-2025,DL-13,Active,TRUE,2
829873090105,Low,Health,5000,04-01-2024,MP-14,Active,TRUE,0
488569049507,Low,Pension,2000,06-06-2025,GJ-12,Active,TRUE,5
168305081893,Low,Food,1000,20-11-2024,UP-09,Active,TRUE,5
118780974650,Low,Food,1000,02-03-2023,AP-18,Active,TRUE,3
505718179329,Low,Food,1000,08-01-2023,UP-08,Active,TRUE,2
272331263974,Low,Food,1000,08-10-2024,WB-01,Active,TRUE,4
371798226095,Low,Pension,2000,16-01-2023,MH-12,Active,TRUE,1
326270885636,Low,Health,5000,09-08-2023,UP-16,Active,TRUE,5
406363209741,Low,Pension,2000,13-02-2023,TN-09,Active,TRUE,1
501572157120,Low,Health,5000,30-10-2023,RJ-08,Active,TRUE,4
739827836733,Low,Health,5000,03-08-2023,AP-14,Active,TRUE,5
186513561814,Low,Pension,2000,17-02-2025,WB-11,Active,TRUE,3
318509871888,Low,Health,5000,23-08-2023,RJ-19,Active,TRUE,4
869149333264,Low,Health,5000,01-09-2023,KA-06,Active,TRUE,2
648664229939,Low,Food,1000,27-12-2024,WB-17,Active,TRUE,2
792110513437,Low,Pension,2000,25-01-2025,TN-18,Active,TRUE,3
442948366301,Low,Food,1000,19-08-2025,MP-18,Active,TRUE,0
435283902943,Low,Pension,2000,21-03-2023,UP-01,Active,TRUE,5
642047418401,Low,Health,5000,24-07-2024,MH-13,Active,TRUE,4
591261899007,Low,Food,1000,01-03-2024,WB-08,Active,TRUE,4
814368875526,Low,Health,5000,09-01-2024,UP-06,Active,TRUE,2
896902514932,Low,Food,1000,15-02-2023,RJ-16,Active,TRUE,4
600434553171,Low,Pension,2000,22-10-2025,MP-03,Active,TRUE,4
749581538503,Low,Food,1000,08-05-2023,DL-07,Active,TRUE,3
550581421099,Low,Pension,2000,01-09-2023,DL-16,Active,TRUE,5
458311070480,Low,Pension,2000,26-04-2025,MH-13,Active,TRUE,4
396317850417,Low,Pension,2000,27-09-2023,MP-08,Active,TRUE,4
411122620817,Low,Pension,2000,03-02-2025,WB-13,Active,TRUE,5
107817472735,Low,Health,5000,30-07-2023,WB-13,Active,TRUE,1
499838614010,Low,Food,1000,21-12-2023,UP-06,Active,TRUE,4
780251441344,Low,Food,1000,02-02-2025,WB-05,Active,TRUE,2
161466975788,Low,Health,5000,30-08-2025,GJ-07,Active,TRUE,3
332372324190,Low,Pension,2000,19-05-2025,UP-01,Active,TRUE,5
868130928758,Low,Food,1000,17-08-2023,TN-20,Active,TRUE,4
396827452253,Low,Food,1000,11-04-2025,AP-08,Active,TRUE,1
903173176944,Low,Food,1000,04-03-2023,AP-04,Active,TRUE,1
860972811973,Low,Health,5000,02-07-2025,TN-08,Active,TRUE,0
729576811407,Low,Food,1000,25-06-2023,RJ-09,Active,TRUE,5
715703901722,Low,Food,1000,15-07-2024,GJ-04,Active,TRUE,5
943714101567,Low,Food,1000,31-01-2026,TN-05,Active,TRUE,4
146773962605,Low,Health,5000,03-05-2023,MP-02,Active,TRUE,2
789062929676,Low,Pension,2000,02-03-2024,MP-06,Active,TRUE,0
104113113570,Low,Food,1000,13-12-2024,GJ-13,Active,TRUE,3
513107736928,Low,Health,5000,09-11-2024,MP-20,Active,TRUE,5
164823953734,Low,Health,5000,26-03-2025,UP-20,Active,TRUE,5
899505899058,Low,Food,1000,08-02-2026,TN-17,Active,TRUE,3
655025750506,Low,Food,1000,14-01-2024,MH-06,Active,TRUE,4
605294279160,Low,Pension,2000,14-10-2025,WB-06,Active,TRUE,3
674425352233,Low,Health,5000,25-03-2025,DL-11,Active,TRUE,0
480974888311,Low,Food,1000,16-05-2025,TN-20,Active,TRUE,4
148273463535,Low,Health,5000,18-09-2023,TN-07,Active,TRUE,0
812597178813,Low,Health,5000,04-01-2024,WB-13,Active,TRUE,5
411191385010,Low,Pension,2000,04-06-2024,TN-09,Active,TRUE,0
867122873095,Low,Health,5000,29-08-2024,WB-05,Active,TRUE,3
577505416896,Low,Pension,2000,19-05-2024,UP-07,Active,TRUE,3
588037604252,Low,Food,1000,14-12-2023,DL-08,Active,TRUE,1
690407876204,Low,Health,5000,15-03-2025,MH-03,Active,TRUE,2
644361826547,Low,Food,1000,02-01-2023,RJ-10,Active,TRUE,3
609594212692,Low,Food,1000,07-08-2024,AP-09,Active,TRUE,1
671783267039,Low,Pension,2000,03-06-2024,RJ-11,Active,TRUE,0
418883609500,Low,Pension,2000,22-06-2024,GJ-02,Active,TRUE,4
180468163106,Low,Health,5000,09-05-2024,TN-17,Active,TRUE,1
609793727593,Low,Health,5000,17-06-2023,MH-07,Active,TRUE,0
144736781975,Low,Food,1000,28-01-2026,MP-19,Active,TRUE,4
871777865239,Low,Food,1000,01-10-2025,MP-07,Active,TRUE,3
344044356179,Low,Pension,2000,12-01-2025,RJ-04,Active,TRUE,5
671289505095,Low,Pension,2000,22-11-2024,UP-11,Active,TRUE,0
581178911364,Low,Health,5000,02-05-2025,UP-02,Active,TRUE,2
280617294679,Low,Health,5000,12-10-2023,DL-18,Active,TRUE,1
908218905472,Low,Health,5000,09-10-2024,GJ-08,Active,TRUE,1
992845644076,Low,Health,5000,03-01-2025,GJ-11,Active,TRUE,4
788252046340,Low,Pension,2000,05-09-2024,DL-01,Active,TRUE,2
309865226571,Low,Food,1000,04-09-2024,RJ-08,Active,TRUE,4
761955547787,Low,Food,1000,26-05-2025,MH-14,Active,TRUE,5
611919952951,Low,Food,1000,21-10-2025,KA-05,Active,TRUE,4
686969184524,Low,Health,5000,24-09-2023,TN-16,Active,TRUE,3
865812197707,Low,Pension,2000,20-06-2024,MP-02,Active,TRUE,4
